1,#F1EACD
2,#EADA9B
3,#EADACB
4,#EEC479
5,#E7A545
6,#D07D33
7,#E7CBA2
8,#E7C594
9,#E4B888
10,#E6B18B
11,#E4B287
12,#E79E79
13,#DD995B
14,#DF995C
15,#C97A4D
16,#DB8F46
17,#C16B37
18,#C25F34
19,#E9C495
20,#E8AF68
21,#E89C5B
22,#E59769
23,#D37636
24,#CE693D
25,#CF7B4F
26,#9E4F3C
27,#8F4735
28,#A55F41
29,#AB654D
30,#883B34
31,#5D3533
32,#593233
33,#403233
34,#503A39
35,#37393F
36,#272B30
